//
// tilemap definition exported from tiled as CSV (comment added by hand)
//
13,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11, 
11,11,11,11,11,11,11,11,11,11,14,11,11,19,11,11,11,11,11,11,11,11,11,11,11,19,11,11,13,11,11,11,11,11,11,11,14,11,11,11,
11,11,11,11,19,11,11,11,13,11,11,11,11,11,11,11,24,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,13,11,11,
11,11,11,11,11,11,11,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,24,11,11,11,11,11,11,24,11,11,11,11,11,
11,11,11,11,11,19,11,11,11,11,11,11,11,11,19,11,11,13,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,
11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,
11,11,11,11,11,13,11,11,11,19,11,11,11,13,11,11,11,11,11,11,11,11,11,11,11,13,11,11,11,19,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,
11,11,19,11,11,11,11,11,19,11,11,11,11,11,11,11,11,11,11,11,11,19,11,11,11,11,14,11,11,11,11,24,11,11,11,14,14,11,11,11,
11,11,11,11,14,11,11,11,11,11,14,11,24,11,11,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,
11,11,11,11,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,11,11,14,11,11,14,14,11,11,11,11,11,24,11,11,4,4,11,24,11,
11,14,11,11,14,11,11,11,11,24,11,11,11,14,11,11,11,24,11,11,11,11,11,11,11,11,11,11,11,11,14,11,4,3,1,1,1,1,3,4,
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,24,11,11,11,11,11,24,11,14,11,11,11,10,7,10,10,7,10,10,7,
